,nblfq_tagged,,,,,,,,,,nblfq_dcas,,,,,,,,,,cc_queue,,,,,,,,,,scq_cas,,,,,,,,,,scq_dcas,,,,,,,,,,ms_lock,,,,,,,,,,ms,,,,,,,,,,lock,,,,,,,,,,lcrq,,,,,,,,,,wcq,,,,,,,,,,rcqs,,,,,,,,,,rcqb,,,,,,,,,,rcqd,,,,,,,,,,lscq_cas,,,,,,,,,,lscq_dcas,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
1,637311,638692,606463,615061,640354,592807,623983,592647,577233,625688,661693,612462,646001,598740,602161,605267,601475,586462,585447,588382,1256837,1250348,1233276,1209604,1230902,1267331,1145571,1239186,1238399,1243241,398825,398664,396139,392295,402612,381375,394689,379486,388178,383155,615629,680634,599671,594180,601829,644561,637672,609013,592815,624560,588278,553529,583514,586367,551343,587969,561632,576767,563352,598043,769679,763745,766957,763030,752660,751167,749084,763715,763641,755245,1212703,1364923,1181260,1307657,1152117,1327339,1103940,1262834,1163720,1272061,10306407,13365056,12263372,7049450,13435575,18412340,234439113,261645953,81577474,131771284,1212525,1253436,1302485,1127713,1052901,1102420,1100615,1136541,1145900,1139450,669772,629664,678598,626298,691515,662919,645377,679942,719683,633375,373434,387195,341536,376845,359163,376414,359962,351786,361168,354269,692534,672021,662034,653305,689420,668207,625540,688357,650593,664310,1720561,2387685,2483104,2425656,2475302,2440939,2409060,2380889,2402613,2461118,665255,669752,661002,710253,676534,661173,681894,624022,643587,582794
3,919390,859581,859429,788423,828398,875381,1098153,854788,905497,899289,1261450,1176813,964884,1110798,1017825,1004379,961766,974365,1015212,984677,3272816,3465580,3777676,3778180,3476357,3786740,3435034,3706125,3351020,3888883,1208106,1335864,1275634,1330389,1329952,1306699,1338857,1297476,1337806,1320457,989861,986076,1281706,993772,1018017,1262962,996746,1051392,1039765,1229223,1110358,1188449,1605137,1124791,1109388,1107210,1410353,1436410,1058624,1115238,991123,984216,979162,974661,974946,1002362,1050412,1034854,1005572,998639,3137420,3382701,3286722,3198762,3096901,2922921,3266592,3129525,3079069,3231553,570150277,47744360,2987756195,653439114,1793779420,2459899043,707640389,43980876,4052173395,49118971,3259748,3404672,3313428,3275311,3206975,3083034,3206809,3042081,3286808,3239593,1080033,1026715,1066905,1003032,996212,1056842,1255490,994793,838279,1077280,1219747,1265956,1252232,1239002,1172065,1243387,1247339,1225301,1253861,1253672,984404,949281,1012576,1070298,1033402,1074540,1240827,1251147,1016119,990429,6318702,6172333,5047147,6184846,6107224,7553999,6178844,7728030,7694763,8385465,977741,1070203,994999,1127650,977057,1123367,1211819,1007330,965341,1202773
5,1910139,1789471,1900408,2012752,1913182,2069486,3095208,1930019,1957273,1899354,2816379,1741718,1646304,1599593,1893876,2226724,2820396,2114292,1676486,2734537,9282571,6221929,9699886,6420652,6739623,6301497,8801738,8158164,11715874,7980913,5527161,5535956,5050631,5434368,5297302,6985612,7312428,7154714,6825900,4780443,1911001,2323183,1977559,2576942,1456037,2545815,2307420,1472528,1635507,1779195,3908002,3621784,3973557,4125122,4010100,4021514,3965862,4099696,3560772,3553072,3059748,3169508,2750375,2889189,2926372,2579152,2795059,2639646,2887712,2994375,5330560,5608389,5489288,5540788,5542766,5564844,5433336,5430176,5495192,5554294,1600316886,59446318,360042850,42661840,66699899,1497971631,816323335,139615566,358509716,955333762,5500925,5481563,5683582,5642390,5583429,5658693,5513183,5602858,5518870,5505111,2256755,1689843,1981346,1702185,1688684,1905984,1927299,1677780,1385442,1591016,2108300,1859538,2116844,2245124,2243140,2089668,2109924,2155070,2241123,2154052,1477599,1603263,1820460,1675398,1713692,1783980,1866720,1752635,1801438,1752498,15249236,17435753,17344586,16606915,18734673,23933988,25831260,32475925,18785335,30514843,1795412,1997668,2662903,1648212,2155946,1806199,3002503,2032524,2929933,3182706
7,2626623,2659608,2508417,2820154,2910967,3433092,3141314,3040907,2880393,3607788,3277905,2860822,2963774,1872014,2633192,3368409,2241749,4034496,2234092,3427874,15356945,8231501,9744168,18763643,12339405,26501025,13572100,10198541,14463071,10287626,8687333,9154771,7136793,9843327,10364705,9153999,10777387,7582123,10150703,6579291,2280804,3080553,3607329,3163834,2261641,3300607,3359068,2240591,2980208,2166268,5132767,5780065,5566287,5241121,5586902,5038905,5406439,5528100,5215287,6024036,4600465,4730673,4641818,4765405,4792270,4474301,4947190,4289248,4683248,4963084,8252705,8309417,8256523,8092331,8232295,8305272,8108226,8121921,8325299,8259946,108461522,733762707,134066077,466315092,151724568,578090670,1636243099,309612612,205251286,404741312,8210616,8039658,8292156,8227230,8182212,8271883,8144477,8103942,8192482,8225448,3083625,3415158,2048494,2678646,2352429,2962202,2279321,2254756,2169324,2767365,3289535,3256390,3134093,3317808,3329520,3223618,3395639,6687934,3207055,2733952,2937482,2675316,2129584,2080413,2167633,2711427,3159597,2002680,3070754,2140832,25518474,22900170,21241648,29119238,23456217,31779156,20899022,23923564,24696454,27888148,2260730,2328630,4337312,3266703,2471877,3603459,2831325,2053344,3430913,2810825
9,2454766,3801582,3240989,4349762,3476720,2813639,3092461,3096025,3644490,3204523,4361230,3941424,5613171,2787618,2651966,3794501,3033513,3171616,3934439,2530461,26526545,11761091,20175658,20388871,36172803,20503539,25094207,24953208,20929178,35859361,10391375,10830035,9116537,10264929,9848231,10397356,9483332,9762760,10595802,10689173,3393347,3792181,3584168,4110146,2479613,2402056,2265938,2586778,4113428,2325428,7880672,8315996,7112666,7771285,7975391,7912101,7936778,7481354,6963692,7651405,6764727,6442446,6482023,6344541,6614310,6336532,6311944,6325264,6430791,6164452,11802174,11912078,11493713,11859919,11638369,11516160,11661839,11776344,11678410,11724635,148295465,414392060,325931683,1180626932,455957489,130191488,188087495,449814568,303445718,480718030,11545688,11741364,11471323,11507041,11543550,11997494,11518569,11632425,11574819,11660083,3600148,4401971,2996674,2996767,3399999,3818047,4166913,4556932,2867976,4712670,3578502,4497550,4299747,3408923,4500762,3492670,4040981,4613244,4004501,3843226,4507684,4074925,3293617,3552147,4427864,4186757,3909112,2679625,4111691,2572018,32073659,28244436,27699257,32336254,30673906,32763243,26601707,20395478,34571659,28730502,2945509,2852836,4777566,4094464,4184034,3888745,3381997,2709651,3354145,3132494
11,3466966,5795537,6230224,5653929,5174823,5005121,5161780,4651412,5491240,5654762,5332693,3452632,5087141,5434730,3613568,4806535,5088480,3843302,5375973,5374032,16442246,34347787,73889736,34305234,76129247,243608487,30938078,28171751,33774115,18995651,12388908,11595440,12677713,13056332,11496443,10830308,11321983,12449151,15028707,12873028,5965339,4131230,5329360,3805107,5939830,5596476,5397784,5382622,6300254,5500543,10312554,10054597,10167336,9877284,10269061,10481964,9982064,9637737,9956738,10489816,8184480,7843457,7680875,8468727,8012371,8355635,8297387,8138463,8000559,7207810,13491408,14104818,14113524,14108382,13758050,15003693,13703913,13565108,13577554,13857462,276984650,174428053,887349762,392085679,841364392,1221095090,224180006,482175267,429483781,529433010,13560424,13951641,13255591,13807169,13691917,13599962,13906525,13976682,13803684,14038085,5233541,4104787,5680061,3652264,4628298,5271947,3904927,5511993,5494125,4460312,4564625,4579600,5177794,5259710,4540044,4253942,5360819,4992634,5114867,4624862,5197489,3229532,4396500,5699324,3410171,2906986,4581752,4176192,3384603,4258897,29911722,37975428,29124836,27382571,31146660,33230820,33821202,25853213,28500753,29405990,4308378,3515872,6385880,3380553,5558512,6249562,4780679,3655909,3816513,4491247
13,6432962,5451693,6326602,5445949,6645121,6633979,6788175,5595114,6753434,6230295,6683513,6153389,4483864,6699390,5782958,5501749,5855649,4830317,5815550,6286749,43072332,58260844,80364349,28986326,36922512,29079761,25178859,74947869,38100014,164122805,14221190,16831354,13449087,15073735,14237357,13654581,13921091,14143229,14898202,11896095,7246397,5572046,6508848,6014110,7487606,7467725,7086821,7322696,6382228,6976043,12631298,12466136,12185826,11951917,12277016,12496832,11927580,11936221,12175789,12353014,9596967,9467812,9870917,9733812,9732825,9451961,9356360,9557278,10169875,9996099,16018643,16292108,16051519,15954847,17054237,15982482,15909788,15908529,15887819,16996249,413886778,418630719,334802303,252848620,306528680,368561660,376105765,691827967,198865471,157582355,15671539,15539458,16163579,16023213,15781277,17053471,16024377,16173347,15767342,16313895,6446139,5307459,7348537,7018383,6573770,5271045,5991899,6221887,7143092,6241755,6292224,6275794,5340813,6112626,5039758,5922262,6106920,6139026,5971462,6129209,5607487,5530680,6374110,7465908,6230364,5418620,6514643,7509095,7061300,6649387,43360761,33057554,28404346,34164433,27221231,35382305,34469162,31357090,32097526,41519111,5350311,8241907,4354919,7528672,8398255,7212599,6446941,5474578,5229244,6149827
15,7762731,8745782,8614586,7594398,6258788,8705562,9608283,5987613,7631975,7205631,7982664,4737942,8258308,9093187,7673851,8192520,8573281,8035668,7713694,6936915,307836760,100163826,64677024,168277122,93105179,234780711,108967246,227823503,104789313,284099296,16850254,20837961,19091223,17225072,17696247,16758974,16622659,15845668,17350255,17484247,6345268,7291141,8587119,8012595,8631265,8103538,8066770,8402543,7242722,8699764,14350491,14596631,14111484,14204388,14536015,14359096,14320518,13975675,13629815,13646890,11524965,11563379,12303353,11684565,11722841,11242319,11722023,12007603,12324675,12379799,18249810,19370602,18124964,18145591,18035369,18300802,18135754,18266190,18317022,18381473,259971797,1432989221,240569796,349799841,418149118,491819180,876176829,275858103,336888222,301333692,18631509,18217313,18180169,17848880,18114322,19277824,17732310,18496385,18027986,18387945,7863445,7407778,7403066,7612053,8674381,6224366,7805203,7083451,7338747,8163595,7129275,7302043,6613330,7113161,6633671,7323856,6334589,7410060,7143369,6698042,6535861,5756443,6878694,8555797,7853074,8048020,7988711,8154592,8504160,7295814,36297373,35010704,42479647,49122312,45390025,40703499,40796295,43576611,36797115,39205540,8648167,7065250,6171577,6605736,9719535,7675688,7067079,8099348,7679353,9129765
17,8608043,9449557,8231653,9627255,10157352,7532487,7743364,8647813,8218782,8749557,10860663,8442044,7935360,6689194,9456829,9901537,10054741,8475295,9578310,7825876,309403956,77340467,160011493,107402016,154237818,202607867,201983330,344816503,167367219,147546689,17004303,18144725,22145694,15040121,18312984,18699873,19928070,20646794,17795762,18926436,8577516,8826679,8660725,8337356,9766743,9694295,10519389,9720349,9013072,8972847,15685612,16258998,16365042,16363664,16779961,16637456,15902324,15746399,16647539,16451334,14085389,13546138,13976318,13260291,13434284,13635337,13159467,13581404,15245354,14133752,20405123,20377821,20216442,20367985,19694152,20447834,21702886,20841817,20666297,20966359,327083599,306217591,429197158,3577859208,347482381,499177542,427811975,322961323,339763342,280520410,20021716,20047762,20061321,19625069,20189593,20138582,20289582,20339088,20502256,20162549,10072190,8617254,7621273,9322925,9131355,9179078,9547542,9084024,9767584,9341278,8293433,8508800,7398575,6511194,7776145,8060311,8032538,7971957,8256628,7962207,9019171,7815806,6695044,9221938,9170066,8733036,6978027,9657392,8469104,6067383,56109816,52916979,47488978,47378776,44156743,45243434,42212359,44167903,51773389,49251941,10063390,8350937,9112187,8856883,9164907,13220048,8563042,9383431,10087711,9824297
