,lcrq,,,,,,,,,,lock,,,,,,,,,,scq_cas,,,,,,,,,,lscq_cas,,,,,,,,,,scq_dcas,,,,,,,,,,lscq_dcas,,,,,,,,,,ms,,,,,,,,,,ms_lock,,,,,,,,,,nblfq_tagged,,,,,,,,,,nblfq_dcas,,,,,,,,,,cc_queue,,,,,,,,,,wcq,,,,,,,,,,rcqs,,,,,,,,,,rcqb,,,,,,,,,,rcqd,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
1,67400,71406,73401,73398,72128,72520,76913,73831,78217,66893,52397,52394,61926,75724,57901,55987,51961,51148,54802,50005,55364,56085,56257,62058,60584,56066,55362,60411,56143,55629,64043,62567,58973,68999,65286,58077,63243,62422,60349,62949,53684,50855,58446,53712,57669,53454,57420,54738,51832,109838,549671,75626,74925,68613,61770,65488,70796,73472,67034,61216,48047,47917,47786,52789,47856,48131,48351,89165,61210,53748,47014,51191,46523,46817,48228,46597,50673,48099,46198,46435,45364,46102,46368,50981,50484,46234,45000,45206,49193,44482,50542,46432,46038,45962,46371,50501,45843,47365,45618,45326,93040,130939,120361,93926,92485,95116,92168,91966,119705,96195,51527,57008,49417,85522,69392,75666,76037,65952,49931,56961,45693,46360,48906,53416,51357,44148,44222,45521,44356,48809,47383,47517,47925,53316,46829,47339,55526,69771,83879,72969,49034,47330,46076,45844,46098,50096,45933,45325,45375,44892
3,124021,125241,105865,117356,125585,128607,116903,94200,116968,128204,76710,87447,78773,81633,81025,96199,103904,83997,77723,76675,68825,71761,64452,63053,65988,147536,65008,76544,65692,74638,127848,82518,74021,75617,82328,75508,65651,69503,72304,76145,64493,74418,68452,136891,66121,67523,67001,74399,109865,67574,95480,82231,85781,86444,81963,88408,95655,90612,159652,81536,68202,65736,71488,65625,64708,65413,64419,71558,57075,57879,59534,58780,58230,59345,65184,59083,59187,58918,58562,65132,60315,65259,67546,79599,63082,68714,58842,59221,59013,60187,61878,62450,69670,62538,66132,66974,60403,62764,61285,60623,122250,115750,124911,109187,109349,114170,110368,107329,116231,109500,73924,92147,80824,93280,78991,80577,67588,72897,80260,73266,54160,60579,62110,56250,56047,67978,58078,57584,55656,62588,63976,54739,59897,53006,60164,48441,50345,56977,55058,61127,51565,57091,55913,54820,56918,48882,54430,69302,61020,60055
5,2402512,1611499,533745,462627,5168187,871871,6207845,2630511,795984,1035734,130903,109652,318347,127058,145441,150626,2116562,146288,107899,133140,96556,120721,139898,97842,1050636,100582,78437,91114,96997,74807,2018078,98467,101881,96656,100287,95476,122954,101602,97285,139382,78103,84259,75434,85634,79188,84106,74552,78263,85932,84800,107360,106045,101509,119052,141050,132650,109846,92771,98725,130854,76874,78908,76374,79533,73036,73512,81732,81017,79869,75561,66544,74343,64604,65858,73619,64558,72193,81892,68609,73847,129575,85889,102377,87738,104968,82355,1284207,106114,173698,77924,70404,75952,71340,70821,71326,102279,66962,70065,70940,70138,163489,157978,177444,158379,160244,161726,159289,160271,155485,177860,122111,103266,116940,121062,137237,105655,102194,120469,124957,124192,68874,74676,84626,71773,76332,72705,72839,66451,79898,79066,76252,155626,85748,75498,71208,74379,71388,85940,95545,87892,80951,77347,71646,74317,72178,100396,117326,73885,63512,73824
7,6483615,4873636,676954,5986243,4554859,3689506,1167511,895449,6057427,4826075,229928,206320,200887,197429,220837,166096,258033,196402,161612,217070,124324,1475418,155895,1629153,186313,235093,808541,1730920,211405,1639679,122200,128886,167659,167619,125587,119128,109651,115740,848062,772238,102833,116181,106662,136294,107248,105041,106059,115346,119638,207948,120804,110482,134086,125635,122479,128018,154813,141939,118287,117151,1099835,914544,871030,927675,2030668,751941,1878053,172668,179552,99343,95048,98549,128864,96724,99085,95446,94178,97779,92640,114254,1934273,839389,873561,1868778,1860247,1940873,237708,297437,159124,141344,556039,124319,767320,141720,121884,114164,102305,95140,1840940,103091,192145,216076,183543,236979,192849,192620,192351,352051,1962067,195784,199515,193752,425156,163012,192775,161865,262545,181627,142309,153790,107869,97010,94293,104589,82289,105378,101970,98079,94390,88339,163853,155867,98754,98300,102061,134198,96405,91827,103818,170308,82921,85038,140436,98885,114298,100406,100779,92201,105027,102502
9,10019502,2610958,4444196,6315657,4012936,2835950,2857632,1827554,8771153,2814684,241252,744371,282779,242291,278445,256319,303494,243967,270139,282863,267794,212459,1914038,779668,1910778,654485,1679251,248751,271002,286885,1674841,1691122,199871,237072,261437,282816,264985,240954,261985,706491,983475,183077,149760,229089,1934079,1914655,1832259,192682,173474,358287,1919877,282399,273934,273771,662787,975567,220002,497168,1899670,1722152,1917785,1038785,1771238,177024,216413,342682,1986189,256490,200494,206790,795615,1013261,1757012,1894287,180260,166998,160602,2106055,196825,244870,223953,292636,222229,987809,258272,224408,206245,249571,221932,229594,1858016,1904140,187365,650623,1807770,919593,202142,666185,221085,492962,776481,421378,1410608,1846968,991401,761768,1091746,1589657,883590,350474,206046,213680,1170131,258556,305554,233777,228264,241135,217360,252232,907849,876203,936236,859194,2041928,173554,159313,186314,916218,877826,243183,207820,207750,203528,256590,311529,217247,204932,208693,222928,281959,233749,173838,179864,163508,159043,637270,296256,290645,318118
11,952260,2342366,5223505,8713647,4059487,1671569,6017655,3674603,6915356,3478793,446629,344577,304502,278215,336714,804890,898654,334595,305150,290161,706257,728219,772625,1711434,1754442,1691319,333798,995850,1790024,1734090,1039895,239356,359290,531501,1673781,712132,1728669,299329,2065974,1402101,854448,179150,1570224,254121,252728,251534,1767275,219460,285597,280215,943283,867606,1792322,922158,923713,306512,325680,833753,956438,842537,1538328,1992757,1872906,1889696,250089,499970,265232,364227,1963127,910068,1325498,1005301,1899506,902688,922766,786486,918758,1807109,258622,204264,1814925,600415,1196188,793041,795648,500925,267509,243937,254885,304209,475786,952481,220530,235163,266798,737288,1968052,791087,1874636,215487,542132,1237164,421392,2494129,745892,1932621,524198,378659,491303,717808,304826,335791,304094,310287,234163,295806,238627,267329,1022586,295987,708049,893120,222643,659308,1885099,257859,518849,1923820,1808558,213414,364323,240553,320493,311328,322950,306434,311268,299108,328349,311401,324259,382448,352156,345739,381578,326319,375919,350704,426621,299983
13,6327145,7016503,2884751,5888945,9340341,5044834,1977829,4006213,5401001,4756620,391797,1300906,394307,342576,344499,359208,348419,338245,345418,323831,705253,1699475,724409,594310,611750,552032,1860151,304936,935807,716059,326819,366462,682809,1077968,608818,581519,1443072,1582031,1541881,601589,985307,625737,270868,1630125,875131,1906005,819661,869597,1813569,314355,394070,300291,600299,619877,617377,338937,1476937,612261,589041,593053,1599692,292401,326266,2214335,453896,483417,375634,272748,418275,262700,755169,933839,1836612,294725,494423,1827088,319521,258050,294384,296461,471348,1554246,399486,400716,337782,813070,1181452,1466829,383858,665370,884219,1800602,1890287,345552,260321,960526,827609,885923,1886611,1545605,574773,565080,541676,536564,1822224,820231,798810,959515,680154,1821968,321221,300317,317555,321782,1005963,273169,298668,313303,329078,1058638,903522,784894,952114,760432,894686,831053,1936314,809667,739344,1811367,370501,286043,258644,290713,726703,373840,263715,233761,1087604,315790,404405,308915,433048,425602,394601,403068,486666,632636,394144,420229
15,1412867,1105742,3537071,3935089,5833475,5753481,5007296,1968830,5037098,3368032,421104,938403,403767,366196,1387129,436463,467948,417555,399978,435954,914641,668663,612216,1699021,375688,958870,1662999,692062,1652494,391325,1736730,1454606,1526006,602371,1532534,516362,1529470,1568410,1495183,571691,342031,326512,2099307,1865707,1875964,1811295,808419,1839370,1413412,528079,731636,1893411,1842424,750224,346622,521025,509642,822304,403387,402740,769207,838592,846574,1812408,859493,803768,853843,1854339,831824,1792194,683596,898180,800466,817429,904505,823964,1810985,896173,1801655,1847848,407782,1218457,1781351,1733920,404605,1092121,349634,333983,333197,370722,524171,1845742,839730,1751219,1826106,844182,1927852,741180,1859494,1852632,682755,2446465,669589,892213,1342091,637936,588897,1604387,1228387,666963,412364,383085,390647,597316,404204,345293,428800,367476,440174,376204,275249,929289,1888361,780070,296350,2371289,870385,782775,860564,1858775,412753,441116,361159,308359,344225,374754,301400,380225,293946,377993,457395,323787,382617,464975,444659,415102,423198,395652,357955,253583
17,6476265,12149542,5430378,7415501,12087989,4224707,4049987,2574817,7141217,1130305,756332,589962,472042,458776,431935,409896,488933,560144,512531,707742,1050104,1621807,550162,1652644,605250,435646,960994,447296,419825,460511,438689,1424976,537054,462735,560714,533608,549663,1560195,804962,381394,730036,1816445,814173,837504,792571,1855910,794708,848418,1803268,774465,392516,1221889,773909,1772312,894653,400698,395831,443337,834942,440946,329839,638152,1761571,819411,1819754,440706,2298183,857662,1667785,792179,797874,1847759,767895,1855510,429271,1206245,334252,348432,318944,363302,308082,1301213,1664839,1858500,1729166,393488,356576,394579,330474,354209,342087,2297160,759664,844033,398903,1196798,853335,1747774,813764,789309,754362,836047,1776748,1115698,711315,654433,781589,1510734,1718339,749615,733558,502567,523375,391910,400270,410667,402306,504124,398547,405056,1784523,838126,1798832,800844,816954,843934,834497,1772106,290814,1322744,908386,329495,380764,442535,319561,366031,491115,750673,472854,361528,430257,350064,445145,457929,465772,389317,462263,512434,450053,453494
19,1646771,7147586,3506917,5623067,6793988,1849634,7419711,5629790,2900882,9842400,519748,1217822,560330,525952,598870,842961,678240,546693,976924,480341,1617211,1558414,820623,558354,603782,537611,640068,466801,529307,483268,467696,963010,461870,510828,510820,464249,476114,525963,1041447,473612,427460,1161740,780770,807817,822636,816224,1789204,1874500,717762,754764,850551,762901,1522300,557579,1159955,1597217,773675,1784952,1781480,499873,788639,847588,1751265,837820,1563631,846449,732138,846391,685222,425001,1799801,805757,852538,845820,750409,448977,388406,546996,1813604,782278,442913,429499,378181,377160,702507,816882,553634,1711789,918716,1603714,1780550,468435,1087252,1856082,802863,1742155,803442,828560,806501,787802,1716010,1710057,1687601,1240918,1233132,1745720,1721727,722815,853674,1589940,471594,526997,442017,676986,420981,881940,481870,433953,506593,419595,774140,816497,784522,830674,331527,1267852,737256,810697,1772218,814580,351832,383896,584424,426251,1152894,436158,1082163,511777,461664,520904,492968,377792,543152,523639,516575,615026,495224,484805,573312,657035
